file,rows,dial,keys,n_treated,n_unpaired,carried,incremental,destroyed,both_fail,overlay_pass4b,incr_share
2026-09-05_weak-dominance-bands-as-the-calibration-output_C.grid.csv,306,arm,panel|book|cost,288,0,0,29,0,259,29,1.0
2026-09-05_why-the-IS-4b-screen-changes-no-pick_cloud.grid.csv,306,arm,panel|book|cost,288,0,0,29,0,259,29,1.0
2026-09-05_why-the-IS-4b-screen-changes-no-pick_cloud.picks.csv,216,arm,panel|book|cost,70,24,0,28,0,42,28,1.0
2026-09-05_why-the-IS-4b-screen-changes-no-pick_cloud.walkforward.csv,216,arm,panel|book|cost,70,24,0,28,0,42,28,1.0
2026-09-06_does-every-regime-conditional-dial-lose-its-own-regime_C.grid.csv,594,instr,panel|book|cost|gross,32,544,0,0,0,32,0,
2026-09-06_is-the-soft-200d-tilt-inside-the-score-doing-the-gate-s-job_cloud.grid.csv,180,gate,universe|conv|n,120,0,10,5,0,105,15,0.3333333333333333
2026-09-06_vol20-gate-in-isolation_cloud.grid.csv,48,gate,universe|conv|n,36,0,0,5,0,31,5,1.0
2026-09-07_back-fill-the-mean-name-count-column-over-every-quoted-price_B.grid.csv,1224,arm,panel|book|rung|cost,1152,0,0,126,0,1026,126,1.0
2026-09-07_breadth-adaptive-count-2022_B.grid.csv,27,family,gross,0,19,0,0,0,0,0,
2026-09-07_breadth-gate-on-v2_B.grid.csv,540,family,panel|rung|gross|depth|cadence,0,513,0,0,0,0,0,
2026-09-07_does-any-overlay-move-MaxDD-without-moving-CAGR-more_C.grid.csv,324,family,panel|n|cost,306,0,34,14,17,241,48,0.2916666666666667
2026-09-07_does-the-NUMERAIRE-clause-screen-the-queues-open-overlay-ideas_C.grid.csv,324,family,panel|n|cost,306,0,34,14,17,241,48,0.2916666666666667
2026-09-07_does-the-NUMERAIRE-clause-screen-the-queues-open-overlay-ideas_C.walkforward.csv,12,family,panel|n,4,3,0,0,0,4,0,
2026-09-07_does-the-SECOND-worst-drawdown-episode-bound-every-overlay_cloud.grid.csv,1242,overlay,panel|bps|gross,99,1089,8,0,0,91,8,0.0
2026-09-07_is-DDCTRL-retirable-as-a-family_C.grid.csv,522,arm,panel|n|cost,504,0,63,0,21,420,63,0.0
2026-09-07_is-a-class-member-just-its-own-ladder-point_B.grid.csv,748,arm,panel|book|cost,704,0,6,50,42,606,56,0.8928571428571429
2026-09-07_is-a-class-member-just-its-own-ladder-point_B2.grid.csv,1632,arm,panel|book|cost,1536,0,42,94,198,1202,136,0.6911764705882353
2026-09-07_is-a-class-member-just-its-own-ladder-point_cloud.grid.csv,748,arm,panel|book|cost,704,0,6,50,42,606,56,0.8928571428571429
2026-09-07_is-the-4b-defensive-class-empty-under-BOTH-conventions_cloud.grid.csv,1632,arm,panel|book|cost,1536,0,42,94,198,1202,136,0.6911764705882353
2026-09-07_is-the-4b-defensive-class-empty-under-BOTH-conventions_cloud.members.csv,531,arm,panel|book|cost,488,14,0,0,0,488,0,
2026-09-07_re-price-the-fixed-ABSOLUTE-breadth-threshold-as-a-quantile_C.grid.csv,1998,family,panel|rung|gross|depth|cadence,0,1971,0,0,0,0,0,
2026-09-07_sleeve-moves-the-frontier_cloud.grid.csv,432,arm,panel|book|cost|gross,12,408,0,0,0,12,0,
2026-09-07_the-small-panel-has-no-defensive-class_cloud.walkforward.csv,96,overlay,panel|cost,72,0,0,2,0,70,2,1.0
2026-09-07_two-same-day-runs-disagree-on-D3_B.keeppaths.csv,34,arm,book,32,0,0,14,0,18,14,1.0
2026-09-08_does-any-selector-beat-doing-nothing_B.grid.csv,1224,arm,panel|book|cost|conv|gross,33,1119,0,0,0,33,0,
2026-09-08_does-any-selector-beat-doing-nothing_B.picks.csv,864,arm,panel|book|cost,453,0,57,66,16,314,123,0.5365853658536586
2026-09-08_does-any-selector-beat-doing-nothing_B.walkforward.csv,864,arm,panel|book|cost,453,0,57,66,16,314,123,0.5365853658536586
2026-09-08_does-idea-404-s-both-paths-emptiness-survive-idea-142-s-two-rows_C.grid.csv,288,arm,panel|cost|gross,0,192,0,0,0,0,0,
2026-09-08_does-the-FREE-STRATUM-COUNT-generalise-as-a-null-power-certificate_cloud.grid.csv,294,fam,panel|bps,288,0,62,0,34,192,62,0.0
2026-09-08_does-the-IS-WINDOW-DD-CAP-transfer-at-all_cloud.grid.csv,186,arm,panel|rung|gross|freq,30,150,0,12,0,18,12,1.0
2026-09-08_is-IS-argmax-CONFIDENCE-an-inverse-signal_cloud.grid.csv,186,arm,panel|cost|gross|freq,30,150,0,12,0,18,12,1.0
2026-09-08_pre-register-K_CAGR-as-the-rule-8-default_cloud.grid.csv,1224,arm,panel|book|cost|conv|gross,41,1111,0,0,0,41,0,
2026-09-08_pre-register-K_CAGR-as-the-rule-8-default_cloud.keeppaths.csv,1224,arm,panel|book|cost,1152,0,58,123,22,949,181,0.6795580110497238
2026-09-08_price-the-DEFENSIVE-MENU-not-the-chooser_C.grid.csv,1224,arm,panel|book|cost|conv|gross,33,1119,0,0,0,33,0,
2026-09-08_price-the-DEFENSIVE-MENU-not-the-chooser_C.picks.csv,864,arm,panel|book|cost,543,0,63,80,10,390,143,0.5594405594405595
2026-09-08_price-the-DEFENSIVE-MENU-not-the-chooser_C.walkforward.csv,864,arm,panel|book|cost,543,0,63,80,10,390,143,0.5594405594405595
2026-09-08_price-the-levered-sleeve-against-its-own-TURNOVER_C.grid.csv,896,arm,panel|book|g|cost|gross,0,672,0,0,0,0,0,
2026-09-08_price-the-levered-sleeve-against-its-own-TURNOVER_C.keeppaths.csv,112,arm,cost|n,84,0,0,50,0,34,50,1.0
2026-09-08_re-state-every-IS-DRAWDOWN-BAR-as-a-RANK-or-scale-it-by-1.5_cloud.grid.csv,186,arm,panel|cost|gross|freq,30,150,0,12,0,18,12,1.0
2026-09-08_re-state-every-IS-DRAWDOWN-BAR-as-a-RANK-or-scale-it-by-1.5_cloud.picks.csv,48,form,panel|cost,36,0,10,6,2,18,16,0.375
2026-09-08_selector-comparison-needs-more-cells_B.grid.csv,816,arm,panel|book|cost|conv,528,240,16,23,17,472,39,0.5897435897435898
2026-09-08_selector-comparison-needs-more-cells_B.picks.csv,576,arm,panel|book|cost,161,144,8,30,4,119,38,0.7894736842105263
2026-09-08_selector-comparison-needs-more-cells_B.walkforward.csv,576,arm,panel|book|cost,161,144,8,30,4,119,38,0.7894736842105263
2026-09-08_the-pool-mean-as-a-leaderboard-column_B.grid.csv,1224,arm,panel|book|cost|conv|gross,33,1119,0,0,0,33,0,
2026-09-08_the-pool-mean-as-a-leaderboard-column_B.picks.csv,288,arm,panel|book|cost,84,72,4,14,0,66,18,0.7777777777777778
2026-09-08_why-does-the-DD-ranking-die-on-U56_C.keeppaths.csv,792,arm,rung,460,0,0,33,0,427,33,1.0
2026-09-08_why-does-the-DD-ranking-die-on-U56_C.walkforward.csv,792,arm,rung|seed,460,0,0,33,0,427,33,1.0
